ID,Especie,Publicacao_selecionada,Localidade,Estado,Pais,Latitude_GMS,Longitude_GMS,Latitude,Longitude,UC
1,Didelphis aurita,"Castro, R.G.B.M. & Costa, S.F.C No. et al. 2017 - Oecologia Australis",Parque Estadual da Pedra Branca e seu entorno,Rio de Janeiro,Brazil,"22° 56' 26"" S","43° 28' 50"" W",-22.9406,-43.4806,"Sim, o Parque Estadual da Pedra Branca"
2,Rattus norvegicus,"Costa, F. & Porter, F.H. et al. 2014 - Vector-Borne and Zoonotic Diseases",Bairro Pau da Lima,Bahia,Brazil,"12°55'12.5""S ","38°26'42.5""W",-12.92012,-38.44513,Não
3,Rattus norvegicus,"Costa, F. & Porter, F.H. et al. 2014 - Vector-Borne and Zoonotic Diseases",Bairro Valeria,Bahia,Brazil,"12°51'57.0""S ","38°26'28.7""W",-12.86582,-38.44131,Não
4,Rattus norvegicus,"Costa, F. & Porter, F.H. et al. 2014 - Vector-Borne and Zoonotic Diseases",Bairro Sete de abril,Bahia,Brazil,"12°54'45.8""S "," 38°25'54.0""W",-12.91271,-38.43167,Não
5,Hydrochoerus hydrochaeris,"Almeida, A.M.R. & Grise, M. et al. 2014 - Ciência e Natura",Parque  Tanguá,Parana,Brazil,"25°22'44.7""S","49°16'56.7""W",-6.7214,-35.1803,"Sim, o Parque  Tanguá"
6,Hydrochoerus hydrochaeris,"Almeida, A.M.R. & Grise, M. et al. 2014 - Ciência e Natura",Parque Tingui,Parana,Brazil,"25°23'38.4""S ","49°18'22.3""W",-25.393985,-49.306183,"Sim, o Parque Tingui"
7,Hydrochoerus hydrochaeris,"Almeida, A.M.R. & Grise, M. et al. 2014 - Ciência e Natura",Parque Barigui,Parana,Brazil,"25°25'36.4""S ","49°18'26.4""W",-25.42678,-49.3073,"Sim, o Parque Barigui"
8,Sarcopterix leptura,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" W",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
9,Peropteryx leucoptera,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
10,Pteronotus personatus,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
