ID,Publicacao_selecionada,Especie,Localidade,MUNICIPALITY,Estado,Pais,Longitude,Latitude,UC,Altitude,Olsoneconame
ALN_00003,unpublished data,Cabassous tatouay,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.734626,-22.412111,Yes,229,Serra do Mar coastal forests
ALN_00004,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.734626,-22.412111,Yes,229,Serra do Mar coastal forests
ALN_00005,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.734626,-22.412111,Yes,229,Serra do Mar coastal forests
ALN_00006,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.730777,-22.397255,Yes,519,Serra do Mar coastal forests
ALN_00007,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.726515,-22.382166,Yes,812,Serra do Mar coastal forests
ALN_00008,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.726515,-22.382166,Yes,812,Serra do Mar coastal forests
ALN_00009,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.724797,-22.377913,Yes,848,Serra do Mar coastal forests
ALN_00010,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.725332,-22.373801,Yes,900,Serra do Mar coastal forests
ALN_00011,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.723465,-22.370732,Yes,1083,Serra do Mar coastal forests
ALN_00012,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.73733,-22.415109,Yes,229,Serra do Mar coastal forests
ALN_00013,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.73733,-22.415109,Yes,229,Serra do Mar coastal forests
ALN_00014,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.736809,-22.395976,Yes,421,Serra do Mar coastal forests
ALN_00015,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.729245,-22.385561,Yes,554,Serra do Mar coastal forests
ALN_00016,unpublished data,Euphractus sexcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.729245,-22.385561,Yes,554,Serra do Mar coastal forests
ALN_00017,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.728694,-22.377519,Yes,812,Serra do Mar coastal forests
ALN_00018,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.728694,-22.377519,Yes,812,Serra do Mar coastal forests
ALN_00019,unpublished data,Cabassous tatouay,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.728694,-22.377519,Yes,812,Serra do Mar coastal forests
ALN_00020,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.731942,-22.377349,Yes,812,Serra do Mar coastal forests
ALN_00021,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.735825,-22.374387,Yes,1507,Serra do Mar coastal forests
ALN_00022,unpublished data,Cabassous tatouay,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.73777,-22.371903,Yes,1507,Serra do Mar coastal forests
ALN_00023,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.73777,-22.371903,Yes,1507,Serra do Mar coastal forests
ALN_00024,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.753741,-22.416851,Yes,161,Serra do Mar coastal forests
ALN_00025,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.753741,-22.416851,Yes,161,Serra do Mar coastal forests
ALN_00026,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.74235,-22.417924,Yes,186,Serra do Mar coastal forests
ALN_00027,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.74235,-22.417924,Yes,186,Serra do Mar coastal forests
ALN_00028,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.756728,-22.412327,Yes,389,Serra do Mar coastal forests
ALN_00029,unpublished data,Cabassous tatouay,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.741832,-22.403129,Yes,568,Serra do Mar coastal forests
ALN_00030,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.741832,-22.403129,Yes,568,Serra do Mar coastal forests
ALN_00031,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.748128,-22.405789,Yes,568,Serra do Mar coastal forests
ALN_00032,unpublished data,Euphractus sexcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.748128,-22.405789,Yes,568,Serra do Mar coastal forests
ALN_00033,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.748128,-22.405789,Yes,568,Serra do Mar coastal forests
ALN_00034,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.74064,-22.389757,Yes,754,Serra do Mar coastal forests
ALN_00035,unpublished data,Cabassous tatouay,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.74064,-22.389757,Yes,754,Serra do Mar coastal forests
ALN_00036,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.747992,-22.400093,Yes,568,Serra do Mar coastal forests
ALN_00037,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.746352,-22.381283,Yes,1073,Serra do Mar coastal forests
ALN_00038,unpublished data,Cabassous tatouay,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.746352,-22.381283,Yes,1073,Serra do Mar coastal forests
ALN_00039,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.746025,-22.380106,Yes,1073,Serra do Mar coastal forests
ALN_00040,unpublished data,Cabassous tatouay,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.746025,-22.380106,Yes,1073,Serra do Mar coastal forests
ALN_00041,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.743836,-22.37681,Yes,1073,Serra do Mar coastal forests
ALN_00042,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.736867,-22.414718,Yes,229,Serra do Mar coastal forests
ALN_00043,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.736867,-22.414718,Yes,229,Serra do Mar coastal forests
ALN_00044,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.734911,-22.411642,Yes,229,Serra do Mar coastal forests
ALN_00045,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.734911,-22.411642,Yes,229,Serra do Mar coastal forests
ALN_00046,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.730736,-22.396848,Yes,519,Serra do Mar coastal forests
ALN_00047,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.726072,-22.381923,Yes,812,Serra do Mar coastal forests
ALN_00048,unpublished data,Dasypus novemcinctus,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.736472,-22.395965,Yes,421,Serra do Mar coastal forests
ALN_00049,unpublished data,Tamandua tetradactyla,Parque Estadual dos Tres Picos,Cachoeiras de Macacu,RIO DE JANEIRO,BRAZIL,-42.736472,-22.395965,Yes,421,Serra do Mar coastal forests
